,disp_mort,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
97,0.25,0.01353956,0.001299379,0.01224018,10.42002018,0.515947603,0.440738709,0.101367002,75.98,93.02,115.272
98,0.25,0.013191305,0.001644927,0.011546378,8.019385826,0.524289028,0.438443011,0.087979976,74.714,93.383,114.528
99,0.25,0.014041952,0.001780309,0.012261643,7.887367601,0.524900769,0.453289822,0.10068229,74.894,92.588,115.148
100,0.3,0.01370689,0.001571653,0.012135236,8.721318215,0.516500171,0.45283703,0.096093434,73.855,90.261,111.12
101,0.3,0.014090532,0.001584618,0.012505914,8.892068701,0.526730778,0.456424938,0.097780546,73.417,90.409,111.664
102,0.3,0.014546078,0.001661253,0.012884824,8.756086472,0.531878684,0.462321585,0.102668022,73.262,90.144,110.228
103,0.3,0.015304603,0.002013829,0.013290775,7.599754457,0.56868366,0.469837406,0.093975774,72.555,90.368,110.256
104,0.3,0.013520927,0.001852722,0.011668205,7.297870928,0.516747892,0.440166772,0.100445199,74.882,90.249,113.304
105,0.3,0.013949297,0.001777661,0.012171635,7.846993019,0.522654578,0.45489644,0.097699135,73.83,90.758,111.3
106,0.3,0.014394906,0.001415287,0.012979619,10.17101348,0.532821763,0.460120874,0.099411559,74.188,90.217,112.232
107,0.3,0.013546629,0.001456164,0.012090465,9.302954929,0.526707875,0.441378265,0.095063157,72.228,90.457,112.544
108,0.3,0.013709569,0.001603466,0.012106103,8.549959055,0.517527556,0.438831887,0.107026158,73.245,89.731,110.22
109,0.3,0.014017006,0.001707936,0.012309071,8.20698667,0.546326338,0.439122835,0.097166909,72.774,90.522,111.72
110,0.3,0.014086509,0.001396431,0.012690078,10.08750626,0.529140353,0.46167649,0.092302974,72.578,90.888,110.564
111,0.3,0.013708197,0.001924832,0.011783365,7.121762443,0.528578401,0.440292837,0.098463359,73.492,90.402,112.304
112,0.3,0.0138718,0.001781278,0.012090522,7.787554073,0.53336701,0.441073907,0.10019905,73.02,90.856,111.66
113,0.3,0.014462739,0.001764527,0.012698212,8.196383305,0.543348769,0.458404209,0.095926625,72.619,90.21,110.744
114,0.3,0.013578041,0.001764362,0.011813679,7.695723558,0.517990909,0.452010124,0.092345264,73.604,89.992,112.6
115,0.3,0.013098941,0.00168362,0.011415321,7.780223004,0.496459519,0.43913426,0.102512644,73.071,90.4,110.352
116,0.3,0.014225972,0.001744868,0.012481104,8.153036601,0.52972759,0.460916759,0.096500078,73.491,90.39,113.396
117,0.3,0.014183852,0.002165706,0.012018146,6.549297438,0.538130499,0.443418018,0.10375089,73.852,90.863,111.852
118,0.3,0.01415302,0.001569965,0.012583055,9.014861328,0.53064636,0.452188844,0.100256859,74.906,90.982,112.924
119,0.3,0.014385112,0.001661129,0.012723983,8.659840901,0.515159335,0.475507966,0.098297357,73.867,90.382,112.036
120,0.35,0.01406444,0.001799155,0.012265285,7.817247411,0.53703089,0.450870791,0.09457771,71.983,88.369,107.5
121,0.35,0.014068516,0.001883231,0.012185286,7.47041653,0.545467203,0.444247596,0.095414738,71.36,88.28,109.608
122,0.35,0.01415897,0.001728833,0.012430137,8.189902308,0.511057181,0.468423213,0.100155695,71.79,88.352,106.628
123,0.35,0.014975384,0.001685412,0.013289972,8.885293668,0.540279075,0.468487841,0.104797301,71.31,88.092,107.244
124,0.35,0.013926505,0.001520238,0.012406267,9.160738469,0.535222099,0.435793363,0.10412621,72.609,89.189,108.272
125,0.35,0.014943168,0.001918997,0.01302417,7.786966384,0.562119008,0.460365443,0.095655923,71.634,88.309,108.824
126,0.35,0.015086997,0.001683074,0.013403923,8.963955526,0.537925153,0.475177773,0.103241779,71.753,87.152,107.588
127,0.35,0.014561362,0.001401213,0.013160148,10.39196646,0.544088965,0.455866082,0.099886767,72.363,88.641,108
128,0.35,0.013534154,0.001508882,0.012025272,8.969657924,0.533565052,0.435387767,0.093939997,71.341,87.876,107.352
129,0.35,0.014728282,0.001804217,0.012924065,8.16325377,0.552988031,0.461740277,0.093577413,72.643,88.255,107.052
130,0.35,0.015143488,0.001670019,0.013473469,9.067854021,0.552092263,0.466597135,0.102151903,71.723,88.005,106.66
131,0.35,0.013668754,0.001604756,0.012063998,8.51765136,0.524086312,0.454141628,0.089180993,71.615,88.441,108.172
132,0.35,0.014464635,0.002008746,0.01245589,7.200830069,0.520824562,0.467829507,0.102805407,72.125,88.57,106.8
133,0.35,0.014569351,0.001874021,0.012695329,7.774378495,0.510758969,0.481752761,0.10105732,72.957,88.324,107.952
134,0.35,0.015052872,0.001959303,0.013093569,7.682768368,0.532329539,0.483865806,0.09881627,72.152,87.397,108.164
135,0.35,0.014221228,0.002298281,0.011922947,6.187768057,0.542890279,0.44314732,0.101627461,71.114,88.497,106.236
136,0.35,0.014654746,0.001691125,0.012963621,8.665679219,0.540334079,0.461874697,0.1004932,71.363,88.381,107.12
137,0.35,0.015500853,0.001888692,0.013612161,8.207188606,0.558371711,0.475540253,0.101680487,70.954,87.936,107.868
138,0.35,0.015165455,0.002083787,0.013081668,7.277832977,0.533977797,0.477681021,0.105719071,72.139,86.799,107
139,0.35,0.015027317,0.001700648,0.013326669,8.836230367,0.561541489,0.457714241,0.099686711,71.756,87.444,106.652
140,0.4,0.015444122,0.001705138,0.013738985,9.057405365,0.544716877,0.472754923,0.110586009,70.396,85.71,103.696
141,0.4,0.01464111,0.001645547,0.012995563,8.897411828,0.529842742,0.461910651,0.106420351,70.611,85.12,102.376
142,0.4,0.014676612,0.001781129,0.012895484,8.240063197,0.517970714,0.473520258,0.106246631,69.724,85.541,103.884
143,0.4,0.015600068,0.002125735,0.013474333,7.338669619,0.567330943,0.473161825,0.098850798,69.785,85.372,101.68
144,0.4,0.015628484,0.002102487,0.013525997,7.433332516,0.571725292,0.462994718,0.104706456,70.434,85.16,103.084
145,0.4,0.015708456,0.001759504,0.013948952,8.927777302,0.548308302,0.488726985,0.102076784,70.791,85.593,103.54
146,0.4,0.015325103,0.001828355,0.013496747,8.381906214,0.562021755,0.464419543,0.102289455,69.797,85.233,103.304
147,0.4,0.013820671,0.001894432,0.011926239,7.295415425,0.526098624,0.454411976,0.091020335,70.263,84.589,103.176
148,0.4,0.01516209,0.002029148,0.013132942,7.472144907,0.546536083,0.470492005,0.103321274,70.263,86.148,104.704
149,0.4,0.0149254,0.001768272,0.013157128,8.440669207,0.544522152,0.465398204,0.101843457,70.851,85.453,105.232
150,0.4,0.015605847,0.001955829,0.013650017,7.979145532,0.568690751,0.473371536,0.098413501,70.374,85.464,105.152
151,0.4,0.015370656,0.002032051,0.013338604,7.564107407,0.536389088,0.481079867,0.106567552,71.028,84.624,103.004
152,0.4,0.015664857,0.001679373,0.013985483,9.327798107,0.564631991,0.480459294,0.09653367,70.848,85.985,103.72
153,0.4,0.013802178,0.001725018,0.01207716,8.001180645,0.514875646,0.459941848,0.094112305,69.848,85.915,103.616
154,0.4,0.015166354,0.001549516,0.013616839,9.787801622,0.55215684,0.453047738,0.113410039,70.394,84.805,103.584
155,0.4,0.01464072,0.001710819,0.0129299,8.557723872,0.543101159,0.45010825,0.106950839,70.303,85.257,102.112
156,0.4,0.014998367,0.001836705,0.013161663,8.165910602,0.559577901,0.454844905,0.102121894,70.758,84.63,103.664
157,0.4,0.014840575,0.001829775,0.0130108,8.110600251,0.511232278,0.489413296,0.102218241,70.88,84.929,103.716
158,0.4,0.015014009,0.002164125,0.012849884,6.937681343,0.546441148,0.46974361,0.098990415,71.566,85.514,104.316
159,0.4,0.014547099,0.001530923,0.013016176,9.502174622,0.531376383,0.452641822,0.110202574,70.272,85.42,102.312
160,0.45,0.015351408,0.001793294,0.013558114,8.560454151,0.567444091,0.456359516,0.104382649,70.265,83.269,100.644
161,0.45,0.015017363,0.001743697,0.013273666,8.612370473,0.560268618,0.449708887,0.10613118,68.209,81.897,99.552
162,0.45,0.016154505,0.001678689,0.014475816,9.623285208,0.554860153,0.482844515,0.114326464,68.884,82.632,100.592
163,0.45,0.017399182,0.001844477,0.015554705,9.433124513,0.59588069,0.494837625,0.11101344,67.871,81.937,100.68
164,0.45,0.016138395,0.001798153,0.014340241,8.974982836,0.546291884,0.502575089,0.103297259,68.826,82.913,98.276
165,0.45,0.014532822,0.00210081,0.012432012,6.917722895,0.530733277,0.463220162,0.101435023,69.186,83.308,99.096
166,0.45,0.0163978,0.002572172,0.013825628,6.375079862,0.588118606,0.473213398,0.106469681,68.941,82.984,99.68
167,0.45,0.01604781,0.002119699,0.013928111,7.570795735,0.568735517,0.472561753,0.111011938,68.518,82.964,100.684
168,0.45,0.016432405,0.001993683,0.014438723,8.242237568,0.557328956,0.499925574,0.10637982,68.686,82.584,99.768
169,0.45,0.015601873,0.002245907,0.013355965,6.946801991,0.561713673,0.466342674,0.108023346,68.986,82.527,99.764
170,0.45,0.015592765,0.002118533,0.013474232,7.360171238,0.560738183,0.47146039,0.104951796,67.627,82.794,99.996
171,0.45,0.016182745,0.002174781,0.014007964,7.441091903,0.571836074,0.489063715,0.098551716,67.847,82.861,98.052
172,0.45,0.016807365,0.002137475,0.014669889,7.863185343,0.582554013,0.490729158,0.107394498,68.351,81.934,99.076
173,0.45,0.016954696,0.001945855,0.015008841,8.713237701,0.590540314,0.483451565,0.11200055,68.069,82.723,99.284
174,0.45,0.015451179,0.002237739,0.01321344,6.904816883,0.552547822,0.482742585,0.096540467,68.949,83.092,100.208
175,0.45,0.015461386,0.002130318,0.013331069,7.257784691,0.557612631,0.464334173,0.108735965,69.473,83.067,100.692
176,0.45,0.015511296,0.002044469,0.013466828,7.586957061,0.553394991,0.489683564,0.092096386,68.813,83.202,100.188
177,0.45,0.015226557,0.001719165,0.013507392,8.85694696,0.544069984,0.473329754,0.103834251,69.757,83.155,99.592
178,0.45,0.0148482,0.001747894,0.013100307,8.494910913,0.537032915,0.470848476,0.099355848,70.095,83.328,100.532
179,0.45,0.015433926,0.001758984,0.013674942,8.774340878,0.53533568,0.487166571,0.104112322,69.265,83.665,101.324
180,0.5,0.015860636,0.001923859,0.013936777,8.244176569,0.560473402,0.473899085,0.109496528,67.409,81.756,95.496
181,0.5,0.017303716,0.002035916,0.0152678,8.49922944,0.584307862,0.50490523,0.107594455,66.319,79.535,96.592
182,0.5,0.015606626,0.001666094,0.013940532,9.367195572,0.546731797,0.473068845,0.111874757,68.122,79.882,95.444
